DATE,AIRLINE,FLIGHT,ORIGIN,DESTINATION,DEPART,ARRIVE,DELAY,TIME,DISTANCE,TAIL,TYPE
2022-01-20,UA,2209,PBI,EWR,6:13PM,8:46PM,15m,2h33m,1025mi,N27258,B38M
2022-04-10,UA,1697,EWR,PBI,8:19PM,10:49PM,0m,2h30m,1025mi,N466UA,A320
2022-04-20,UA,2224,PBI,EWR,5:27PM,8:13PM,28m,2h46m,1025mi,N841UA,A319
2022-06-07,UA,2072,EWR,ATL,5:55AM,7:54AM,-25m,1h59m,745mi,N17244,B738
2022-06-09,UA,786,ATL,EWR,6:31PM,9:35PM,30m,3h04m,745mi,N18243,B738
2022-08-29,UA,1209,EWR,ATL,6:28PM,8:50PM,28m,2h22m,745mi,N24729,B737
2022-09-01,UA,432,ATL,EWR,7:48PM,10:01PM,-28m,2h13m,745mi,N827UA,A319
2022-10-06,UA,1803,EWR,MEM,12:18PM,1:55PM,-12m,2h37m,944mi,N853UA,A310
2022-10-09,UA,2615,MEM,EWR,3:25PM,7:28PM,55m,3h03m,944mi,N847UA,A319
2023-04-16,UA,2168,EWR,PBI,7:00AM,9:54AM,18m,2h54m,1025mi,N27269,B38M
2023-04-21,UA,2300,PBI,EWR,7:03PM,10:03PM,10m,3h00m,1025mi,N76504,B738
2023-05-07,UA,1739,EWR,MCO,10:50AM,1:16PM,-32m,2h26m,938mi,N35236,B738
2023-05-13,UA,2155,MIA,EWR,1:13PM,4:06PM,-24m,2h53m,1087mi,N17279,B38M
2023-07-14,UA,2206,EWR,IAH,3:47PM,6:49PM,22m,4h02m,1398mi,N644UA,B763
2023-07-17,UA,1429,IAH,EWR,12:28PM,11:58PM,6h43m,10h30m,1398mi,N649UA,B763
2023-10-19,DL,5027,LGA,MEM,5:35PM,7:19PM,-21m,2h44m,961mi,N910XJ,CRJ9
2023-10-22,DL,3799,MEM,LGA,12:14PM,3:37PM,-32m,2h23m,961mi,N244SY,E75W
2024-01-10,UA,439,EWR,PBI,4:43PM,7:32PM,-17m,2h49m,1025mi,N68452,B739
2024-01-17,UA,2209,PBI,EWR,9:49PM,12:29AM,3h47m,2h40m,1025mi,N37471,B739
2024-02-16,UA,3592,LGA,IAD,7:44PM,9:05PM,-15m,1h21m,227mi,N736YX,E75W
2024-02-20,UA,3544,IAD,LGA,5:28PM,7:45PM,39m,2h17m,227mi,N739YX,E75W
